department_id_1,department_name_1,department_id_2,department_name_2,course_similarity_weighted,course_similarity_binary,score_median_1,score_median_2,score_difference_median
D01,건축학과,D24,컴퓨터공학과,0.39036002917941326,0.39036002917941326,,,
D03,심리학과,D20,간호학과,0.38924947208076155,0.38924947208076155,,,
D05,화학과,D20,간호학과,0.38729833462074176,0.38729833462074176,,,
D17,화학공학과,D20,간호학과,0.38729833462074176,0.38729833462074176,,,
D09,의예과,D21,전기전자공학과,0.3817708577854668,0.3817708577854668,,,
D01,건축학과,D23,응용통계학과,0.37796447300922714,0.37796447300922714,,,
D06,산업공학과,D16,미디어커뮤니케이션학과,0.37210420376762543,0.37210420376762543,,,
D06,산업공학과,D08,조선해양공학과,0.3689323936863109,0.3689323936863109,,,
D16,미디어커뮤니케이션학과,D22,사학과,0.35805743701971654,0.35805743701971654,,,
D10,수학과,D19,식품영양학과,0.3466876226407683,0.3466876226407683,,,
D06,산업공학과,D13,사회학과,0.34641016151377546,0.34641016151377546,,,
D06,산업공학과,D15,생명과학과,0.34641016151377546,0.34641016151377546,,,
D06,산업공학과,D07,신소재공학과,0.33541019662496846,0.33541019662496846,,,
D19,식품영양학과,D24,컴퓨터공학과,0.33541019662496846,0.33541019662496846,,,
D04,기계공학과,D12,약학과,0.3311330892662611,0.3311330892662611,,,
D13,사회학과,D14,경제학과,0.32461722703211787,0.32461722703211787,,,
D11,경영학과,D13,사회학과,0.32461722703211787,0.32461722703211787,,,
D14,경제학과,D24,컴퓨터공학과,0.3212877315609996,0.3212877315609996,,,
D11,경영학과,D24,컴퓨터공학과,0.3212877315609996,0.3212877315609996,,,
D01,건축학과,D12,약학과,0.31497039417435596,0.31497039417435596,,,
D12,약학과,D25,자동차공학과,0.31497039417435596,0.31497039417435596,,,
D02,국어국문학과,D03,심리학과,0.31139957766460924,0.31139957766460924,,,
D16,미디어커뮤니케이션학과,D18,디자인학과,0.3100868364730212,0.3100868364730212,,,
D09,의예과,D10,수학과,0.3076923076923078,0.3076923076923078,,,
D04,기계공학과,D20,간호학과,0.2961744388795463,0.2961744388795463,,,
D02,국어국문학과,D18,디자인학과,0.28867513459481287,0.28867513459481287,,,
D02,국어국문학과,D16,미디어커뮤니케이션학과,0.28644594961577324,0.28644594961577324,,,
D01,건축학과,D13,사회학과,0.2817180849095055,0.2817180849095055,,,
D01,건축학과,D20,간호학과,0.2817180849095055,0.2817180849095055,,,
D20,간호학과,D25,자동차공학과,0.2817180849095055,0.2817180849095055,,,
D11,경영학과,D18,디자인학과,0.28112676511587464,0.28112676511587464,,,
D14,경제학과,D18,디자인학과,0.28112676511587464,0.28112676511587464,,,
D14,경제학과,D22,사학과,0.278243337456101,0.278243337456101,,,
D11,경영학과,D22,사학과,0.278243337456101,0.278243337456101,,,
D14,경제학과,D25,자동차공학과,0.27435163058436723,0.27435163058436723,,,
D11,경영학과,D25,자동차공학과,0.27435163058436723,0.27435163058436723,,,
D03,심리학과,D06,산업공학과,0.26967994498529685,0.26967994498529685,,,
D11,경영학과,D19,식품영양학과,0.2694079530401624,0.2694079530401624,,,
D14,경제학과,D19,식품영양학과,0.2694079530401624,0.2694079530401624,,,
D13,사회학과,D20,간호학과,0.2666666666666667,0.2666666666666667,,,
D12,약학과,D21,전기전자공학과,0.2649064714130089,0.2649064714130089,,,
D03,심리학과,D12,약학과,0.2611164839335468,0.2611164839335468,,,
D03,심리학과,D09,의예과,0.25087260300212727,0.25087260300212727,,,
D18,디자인학과,D24,컴퓨터공학과,0.24999999999999997,0.24999999999999997,,,
D10,수학과,D14,경제학과,0.24906774069335905,0.24906774069335905,,,
D10,수학과,D11,경영학과,0.24906774069335905,0.24906774069335905,,,
D14,경제학과,D21,전기전자공학과,0.24722569302909886,0.24722569302909886,,,
D11,경영학과,D21,전기전자공학과,0.24722569302909886,0.24722569302909886,,,
D04,기계공학과,D11,경영학과,0.24722569302909886,0.24722569302909886,,,
D04,기계공학과,D14,경제학과,0.24722569302909886,0.24722569302909886,,,
D20,간호학과,D21,전기전자공학과,0.23693955110363704,0.23693955110363704,,,
D01,건축학과,D11,경영학과,0.23515854050088614,0.23515854050088614,,,
D01,건축학과,D14,경제학과,0.23515854050088614,0.23515854050088614,,,
D18,디자인학과,D22,사학과,0.2309401076758503,0.2309401076758503,,,
D03,심리학과,D19,식품영양학과,0.22613350843332272,0.22613350843332272,,,
D12,약학과,D13,사회학과,0.22360679774997902,0.22360679774997902,,,
D03,심리학과,D14,경제학과,0.21661214442955298,0.21661214442955298,,,
D03,심리학과,D11,경영학과,0.21661214442955298,0.21661214442955298,,,
D09,의예과,D13,사회학과,0.21483446221182995,0.21483446221182995,,,
D08,조선해양공학과,D11,경영학과,0.2116668783336509,0.2116668783336509,,,
D08,조선해양공학과,D14,경제학과,0.2116668783336509,0.2116668783336509,,,
D16,미디어커뮤니케이션학과,D19,식품영양학과,0.20801257358446096,0.20801257358446096,,,
D03,심리학과,D18,디자인학과,0.20225995873897262,0.20225995873897262,,,
D02,국어국문학과,D22,사학과,0.20000000000000004,0.20000000000000004,,,
D02,국어국문학과,D20,간호학과,0.20000000000000004,0.20000000000000004,,,
D02,국어국문학과,D13,사회학과,0.20000000000000004,0.20000000000000004,,,
D06,산업공학과,D18,디자인학과,0.19999999999999998,0.19999999999999998,,,
D18,디자인학과,D23,응용통계학과,0.19364916731037088,0.19364916731037088,,,
D09,의예과,D24,컴퓨터공학과,0.18605210188381271,0.18605210188381271,,,
D11,경영학과,D15,생명과학과,0.18549555830406736,0.18549555830406736,,,
D02,국어국문학과,D14,경제학과,0.18549555830406736,0.18549555830406736,,,
D14,경제학과,D15,생명과학과,0.18549555830406736,0.18549555830406736,,,
D02,국어국문학과,D11,경영학과,0.18549555830406736,0.18549555830406736,,,
D07,신소재공학과,D11,경영학과,0.17960530202677494,0.17960530202677494,,,
D07,신소재공학과,D14,경제학과,0.17960530202677494,0.17960530202677494,,,
D14,경제학과,D17,화학공학과,0.17960530202677494,0.17960530202677494,,,
D05,화학과,D11,경영학과,0.17960530202677494,0.17960530202677494,,,
D11,경영학과,D17,화학공학과,0.17960530202677494,0.17960530202677494,,,
D05,화학과,D14,경제학과,0.17960530202677494,0.17960530202677494,,,
D03,심리학과,D23,응용통계학과,0.17407765595569785,0.17407765595569785,,,
