department_id_1,department_name_1,department_id_2,department_name_2,course_similarity_weighted,course_similarity_binary,score_median_1,score_median_2,score_difference_median
D21,전기전자공학과,D23,응용통계학과,0.8849846507021013,0.9045340337332914,3.04,3.13,0.08999999999999986
D01,건축학과,D10,수학과,0.8765009801785558,0.8872442622820287,2.86,3.375,0.5150000000000001
D04,기계공학과,D23,응용통계학과,0.8743856497851877,0.8743856497851877,3.1399999999999997,3.13,0.009999999999999787
D07,신소재공학과,D23,응용통계학과,0.8743856497851877,0.8743856497851877,2.535,3.13,0.5949999999999998
D17,화학공학과,D23,응용통계학과,0.8743856497851877,0.8743856497851877,2.4450000000000003,3.13,0.6849999999999996
D07,신소재공학과,D10,수학과,0.8740830418336486,0.8908708063747482,2.535,3.375,0.8399999999999999
D03,심리학과,D22,사학과,0.8701395618766326,0.8583950752789525,2.635,3.5,0.8650000000000002
D11,경영학과,D21,전기전자공학과,0.8701109590936619,0.8362420100070912,2.5,3.04,0.54
D09,의예과,D14,경제학과,0.8677218312746244,0.9000000000000002,1.15,3.495,2.345
D12,약학과,D14,경제학과,0.8677218312746244,0.9000000000000002,1.23,3.495,2.265
D09,의예과,D15,생명과학과,0.8672273827165136,0.8672273827165136,1.15,3.33,2.18
D12,약학과,D15,생명과학과,0.8672273827165136,0.8672273827165136,1.23,3.33,2.1
D05,화학과,D19,식품영양학과,0.8671321459661012,0.8427009716003846,3.04,3.22,0.18000000000000016
D01,건축학과,D19,식품영양학과,0.8669214468630115,0.8669214468630115,2.86,3.22,0.3600000000000003
D03,심리학과,D13,사회학과,0.8664002254439634,0.8314971796756817,2.635,3.19,0.5550000000000002
D17,화학공학과,D20,간호학과,0.8661380721520243,0.872871560943969,2.4450000000000003,2.25,0.19500000000000028
D01,건축학과,D17,화학공학과,0.8660254037844388,0.8660254037844388,2.86,2.4450000000000003,0.4149999999999996
D01,건축학과,D04,기계공학과,0.8660254037844388,0.8660254037844388,2.86,3.1399999999999997,0.2799999999999998
D10,수학과,D24,컴퓨터공학과,0.8629109946080101,0.8672273827165136,3.375,2.92,0.45500000000000007
D05,화학과,D11,경영학과,0.8601720516172059,0.8680790595108571,3.04,2.5,0.54
D14,경제학과,D24,컴퓨터공학과,0.8573609935745664,0.8000000000000002,3.495,2.92,0.5750000000000002
D03,심리학과,D11,경영학과,0.8572278869389239,0.8548504142651104,2.635,2.5,0.1349999999999998
D03,심리학과,D16,미디어커뮤니케이션학과,0.8539125638299672,0.8429272304235249,2.635,2.685,0.050000000000000266
D05,화학과,D15,생명과학과,0.8488746876271658,0.8642416214502252,3.04,3.33,0.29000000000000004
D04,기계공학과,D14,경제학과,0.8468097984399408,0.8295150620062529,3.1399999999999997,3.495,0.3550000000000004
D02,국어국문학과,D13,사회학과,0.8462174165567121,0.827340303992031,3.705,3.19,0.5150000000000001
D11,경영학과,D16,미디어커뮤니케이션학과,0.8454057513133807,0.8406728074767078,2.5,2.685,0.18500000000000005
D10,수학과,D14,경제학과,0.8436614877321077,0.8672273827165136,3.375,3.495,0.1200000000000001
D11,경영학과,D24,컴퓨터공학과,0.8394698184795848,0.8332051183416779,2.5,2.92,0.41999999999999993
D12,약학과,D19,식품영양학과,0.8392543274162823,0.8392543274162823,1.23,3.22,1.9900000000000002
D09,의예과,D19,식품영양학과,0.8392543274162823,0.8392543274162823,1.15,3.22,2.0700000000000003
D17,화학공학과,D24,컴퓨터공학과,0.8390645410391885,0.8783100656536795,2.4450000000000003,2.92,0.47499999999999964
D14,경제학과,D20,간호학과,0.8384446269601249,0.8944271909999162,3.495,2.25,1.245
D02,국어국문학과,D16,미디어커뮤니케이션학과,0.8355099778440257,0.8416254115301732,3.705,2.685,1.02
D15,생명과학과,D24,컴퓨터공학과,0.835509977844025,0.8672273827165136,3.33,2.92,0.41000000000000014
D10,수학과,D19,식품영양학과,0.835215266301331,0.8512565307587489,3.375,3.22,0.1549999999999998
D05,화학과,D10,수학과,0.8349657214468669,0.8642416214502252,3.04,3.375,0.33499999999999996
D02,국어국문학과,D22,사학과,0.8348365735275826,0.8426648406178137,3.705,3.5,0.20500000000000007
D01,건축학과,D21,전기전자공학과,0.8347838711296823,0.8461141122266496,2.86,3.04,0.18000000000000016
D10,수학과,D11,경영학과,0.8305395344999219,0.800640769025436,3.375,2.5,0.875
D14,경제학과,D21,전기전자공학과,0.8302909552086494,0.8104432008587538,3.495,3.04,0.45500000000000007
D09,의예과,D17,화학공학과,0.8295150620062529,0.8295150620062529,1.15,2.4450000000000003,1.2950000000000004
D12,약학과,D17,화학공학과,0.8295150620062529,0.8295150620062529,1.23,2.4450000000000003,1.2150000000000003
D19,식품영양학과,D20,간호학과,0.8276235849040195,0.8340576562282993,3.22,2.25,0.9700000000000002
D01,건축학과,D07,신소재공학과,0.8247860988423227,0.8247860988423227,2.86,2.535,0.32499999999999973
D05,화학과,D17,화학공학과,0.8210580498327418,0.8399210511316156,3.04,2.4450000000000003,0.5949999999999998
D04,기계공학과,D05,화학과,0.8210580498327418,0.8399210511316156,3.1399999999999997,3.04,0.09999999999999964
