department_id,department_name_ko,course_name_standardized,subject_group,assigned_weight,evidence_count,source_count,example_original,example_note
D24,컴퓨터공학과,정보,기타,1.0,2,1,"대수, 미적분Ⅰ, 확률과 통계, 물리학, 정보",광운대 / 인공지능융합대학 / 컴퓨터정보공학부 / match=high
D24,컴퓨터공학과,사회,사회,1.0,1,1,"국어, 영어, 수학, 사회(역사/도덕 포함), 과학 교과",한라대 / 스마트모빌리티융합대학 / 컴퓨터공학과 / match=high
D24,컴퓨터공학과,역사,사회,1.0,1,1,"국어, 영어, 수학, 사회(역사/도덕 포함), 과학 교과",한라대 / 스마트모빌리티융합대학 / 컴퓨터공학과 / match=high
D24,컴퓨터공학과,기하,수학,1.0,16,2,건국대,대표모집단위=컴퓨터공학 / match=medium
D24,컴퓨터공학과,대수,수학,1.0,26,2,가톨릭대,대표모집단위=컴퓨터공학 / match=medium
D24,컴퓨터공학과,미적분,수학,1.0,14,1,"대수, 미적분Ⅰ, 확률과 통계, 미적분Ⅱ, 기하",경희대 / 컴퓨터 / 소프트웨어융합학과 / match=medium
D24,컴퓨터공학과,미적분Ⅰ,수학,1.0,14,2,강원대(춘천),대표모집단위=컴퓨터공학 / match=medium
D24,컴퓨터공학과,미적분Ⅱ,수학,1.0,22,2,강원대(춘천),대표모집단위=컴퓨터공학 / match=medium
D24,컴퓨터공학과,수학,수학,1.0,17,1,"물리학, 수학",가톨릭대 / 컴퓨터정보공학부 / match=high
D24,컴퓨터공학과,확률과 통계,수학,1.0,17,2,강원대(춘천),대표모집단위=컴퓨터공학 / match=medium
D24,컴퓨터공학과,영어,영어,1.0,12,2,강원대(춘천),대표모집단위=컴퓨터공학 / match=medium
